customerid,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,techsupport,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,new_totalservices,new_avg_charges,new_increase,new_avg_service_fee,charge_increased,charge_growth_rate,is_auto_payment,expected_contract_months,contract_gap
54111,0,Yes,No,1,No,No phone service,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,0,24.799752002479973,0.9999900000999989,2480000.0,1,9.999995967806248e-06,0,1,0
36740,0,No,No,41,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.25,996.45,1,24.303652608865217,0.9625208954006027,25.249747502524972,1,0.03893846809696842,1,1,-40
44398,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1031.7,1,19.84038079992677,1.0253426769987994,19.34980650193498,0,-0.024716287338885402,0,24,-28
75399,0,No,No,1,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,1,76.34923650763491,0.9999900000999989,76.34923650763491,1,9.999998690293173e-06,0,1,0
82329,0,No,No,67,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,2,48.65820169280571,0.9625757011435354,25.27487362563187,1,0.03887932255171627,1,24,-43
51077,1,Yes,No,68,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.6,6127.6,2,90.1117514541542,1.0057115117651139,44.79977600111999,0,-0.00567907502745432,1,1,-67
83704,0,Yes,Yes,23,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),77.15,1759.4,3,76.49561891494831,0.9915180675949229,25.716580944730186,1,0.008554489901367698,1,24,1
18027,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),72.1,5016.65,4,69.67568476726599,0.9663756555792787,18.024954937612655,1,0.034794274256350274,1,24,-48
27987,0,No,No,70,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,3,103.57355663234904,0.9958995830033561,34.6665511114963,1,0.00411729924455233,1,24,-46
88373,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,19.4,1,19.39980600193998,0.9999900000999989,19.39980600193998,1,9.999994845335193e-06,0,1,0
77734,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,1,20.449795502044978,0.9999900000999989,20.449795502044978,1,9.999995110020005e-06,0,1,0
17117,0,Yes,Yes,34,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,84.05,2909.95,1,85.58673953331188,1.0182836351375597,84.04915950840491,0,-0.017955344042055964,0,1,-33
61280,1,Yes,Yes,28,Yes,Yes,No,No,No,One year,Yes,Electronic check,51.0,1381.8,1,49.34998237500629,0.9676467132354175,50.99949000509994,1,0.03343501276464985,0,12,-16
97637,1,No,No,18,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.45,1505.85,3,83.6582868565073,0.9790320287478912,28.48323838920537,1,0.02141704063813167,0,1,-17
11347,0,Yes,No,15,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.45,330.8,1,22.053318631120913,1.0784018890523674,20.449795502044978,0,-0.07270188813394657,1,1,-14
32876,1,No,No,11,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,1,90.69537209511628,0.9531831013674859,95.1490485095149,1,0.04911636956567376,1,1,-10
13644,0,No,No,11,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,53.75,608.0,1,55.27267702483907,1.0283288748807269,53.74946250537494,0,-0.027548453075110883,0,1,-10
46761,0,Yes,Yes,1,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,70.0,1,69.99930000699993,0.999990000099999,69.99930000699993,1,9.999998571397981e-06,0,1,0
66505,0,Yes,Yes,37,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,3340.55,2,90.28511073375385,1.0167242199747055,44.39977800110999,0,-0.016449119430580052,0,1,-36
33199,0,No,Yes,22,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.4,2001.5,2,90.97723137398575,1.0176424091049858,44.6997765011175,0,-0.01733654868146768,0,1,-21
72142,0,No,No,1,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,1,70.24929750702492,0.9999900000999988,70.24929750702492,1,9.999998576635079e-06,0,1,0
64720,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,1,19.44980550194498,0.9999900000999989,19.44980550194498,1,9.999994858587254e-06,0,1,0
39210,0,Yes,Yes,46,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.0,3769.7,2,81.94998218478648,1.024374777309831,39.999800001,0,-0.023794781827306634,1,1,-45
89075,0,No,No,51,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),107.45,5680.9,3,111.39017423722072,1.0366698393412817,35.81654727817574,0,-0.03537272394513302,1,12,-39
83307,0,Yes,No,41,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.45,4162.05,3,101.51338987478296,0.9718850155556051,34.81655061149796,1,0.028928300390286994,1,12,-29
11502,0,Yes,No,5,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),67.95,350.3,2,70.05985988028024,1.031050182196913,33.97483012584937,0,-0.030115098470573982,1,1,-4
27672,0,No,No,45,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.3,4016.85,2,89.26331349704144,0.9995891768985604,44.64977675111624,1,0.00041099190038309104,1,1,-44
11833,0,Yes,Yes,29,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.2,1834.15,2,63.24652991498969,1.0506068092190977,30.099849500752498,0,-0.04816911595613855,0,1,-28
89172,1,No,No,15,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.5,1400.3,1,93.35327109781927,1.0202543289379156,91.49908500914991,0,-0.01985223310873608,0,1,-14
16742,0,No,No,72,No,No phone service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.7,4464.8,3,62.01110249845799,0.9734866954232023,21.23326255579148,1,0.02723540077730444,1,24,-48
